Hospital	Average Midnight Total		
		Week 30  Week 31	
DGH - Horana	27	22	
TH - Kuliyapitiya	25	22	
BH - Karawanella	20	21	
BH - Kamburupitiya	24	21	
BH - Gampola	27	20	
BH - Wathupitiwala	22	18	
DGH - Kegalle	23	17	
TH - Anuradhapura	24	17	
BH - Dambadeniya	18	17	
DGH - Nawalapitiya	27	17	
BH - Mahiyanganaya	21	16	
BH - Mawanella	21	15	
BH - Kahawatta	22	14	
DGH - Matale	15	14	
BH - Minuwangoda	22	13	
DGH - Embilipitiya	30	13	
BH - Balapitiya	18	13	
BH - Balangoda	21	12	
DGH - Chilaw	15	11	
