District/ Unit	No of Cases	%
Gampaha	20622	21.25%
Colombo	19168	19.76%
Kandy	7199	7.42%
Kalutara	6218	6.41%
Matara	6186	6.38%
Galle	5288	5.45%
Ratnapura	5130	5.29%
CMC	3887	4.01%
Kegalle	2868	2.96%
Kurunegala	2746	2.83%
Hambantota	2562	2.64%
Puttalam	2126	2.19%
Batticaloa	1549	1.60%
Badulla	1531	1.58%
