District/Unit	No of Cases	%
NIHS	1285	1.32%
Monaragala	1209	1.25%
Kalmunai	1155	1.19%
Matale	1001	1.03%
Anuradhapura	988	1.02%
Jaffna	987	1.02%
Nuwaraeliya	758	0.78%
Polonnaruwa	763	0.79%
Trincomalee	689	0.71%
Ampara	685	0.71%
Vavuniya	165	0.17%
Mannar	95	0.10%
Kilinochchi	92	0.09%
Mullaitivu	75	0.08%
