Province	No of Cases	%
Western	51180	52.75%
Southern	14036	14.47%
Central	8958	9.23%
Sabaragamuwa	7998	8.24%
North Western	4872	5.02%
Eastern	4078	4.20%
Uva	2740	2.82%
North Central	1751	1.80%
Northern	1414	1.46%
