District/ Unit	No of Cases	%
Gampaha	20415	21.29%
Colombo	18981	19.80%
Kandy	7026	7.33%
Kalutara	6174	6.44%
Matara	6152	6.42%
Galle	5224	5.45%
Ratnapura	5084	5.30%
CMC	3850	4.02%
Kegalle	2804	2.92%
Kurunegala	2710	2.83%
Hambantota	2542	2.65%
Puttalam	2096	2.19%
Batticaloa	1531	1.60%
Badulla	1502	1.57%
