Province	No of Cases	%
Western	50680	52.86%
Southern	13918	14.52%
Central	8769	9.15%
Sabaragamuwa	7888	8.23%
North Western	4806	5.01%
Eastern	4005	4.18%
Uva	2698	2.81%
North Central	1709	1.78%
Northern	1395	1.46%
