District/ Unit	No of Cases	%
NIHS	1260	1.31%
Monaragala	1196	1.25%
Kalmunai	1117	1.17%
Matale	991	1.03%
Jaffna	969	1.01%
Anuradhapura	959	1.00%
Nuwaraeliya	752	0.78%
Polonnaruwa	750	0.78%
Trincomalee	681	0.71%
Ampara	676	0.71%
Vavuniya	165	0.17%
Mannar	95	0.10%
Kilinochchi	91	0.09%
Mullaitivu	75	0.08%
