Province	No of Cases	%		
Western	52001	52.57%		
Southern	14254	14.41%		
Central	9293	9.40%		
Sabaragamuwa	8171	8.26%		
North Western	4943	5.00%		
Eastern	4185	4.23%		
Uva	2805	2.84%		
North Central	1800	1.82%		
Northern	1460	1.48%		
High - risk MOH Areas [Week 37, 2026]			34	
