District/Unit	No of Cases	%
NIHS	1308	1.32%
Monaragala	1234	1.25%
Kalmunai	1208	1.22%
Matale	1042	1.05%
Anuradhapura	1021	1.03%
Jaffna	1023	1.03%
Nuwaraeliya	791	0.80%
Polonnaruwa	779	0.79%
Trincomalee	694	0.70%
Ampara	704	0.71%
Vavuniya	167	0.17%
Mannar	95	0.10%
Kilinochchi	96	0.10%
Mullaitivu	79	0.08%
