Province	No of Cases	%		
Western	51562	52.70%		
Southern	14126	14.44%		
Central	9094	9.29%		
Sabaragamuwa	8081	8.26%		
North Western	4907	5.01%		
Eastern	4116	4.21%		
Uva	2763	2.82%		
North Central	1764	1.80%		
Northern	1435	1.47%		
High - risk MOH Areas [Week 36, 2026]			35	
