District/Unit	No of Cases	%
NIHS	1291	1.32%
Monaragala	1215	1.24%
Kalmunai	1172	1.20%
Matale	1013	1.04%
Anuradhapura	995	1.02%
Jaffna	1001	1.02%
Nuwaraeliya	773	0.79%
Polonnaruwa	769	0.79%
Trincomalee	691	0.71%
Ampara	693	0.71%
Vavuniya	166	0.17%
Mannar	95	0.10%
Kilinochchi	94	0.10%
Mullaitivu	79	0.08%
