District/ Unit	No of Cases	%
Gampaha	20786	21.24%
Colombo	19311	19.74%
Kandy	7308	7.47%
Kalutara	6256	6.39%
Matara	6214	6.35%
Galle	5331	5.45%
Ratnapura	5168	5.28%
CMC	3918	4.00%
Kegalle	2913	2.98%
Kurunegala	2763	2.82%
Hambantota	2581	2.64%
Puttalam	2144	2.19%
Batticaloa	1560	1.59%
Badulla	1548	1.58%
