Province	No of Cases	%
Western	50607	52.88%
Southern	13895	14.52%
Central	8746	9.14%
Sabaragamuwa	7865	8.22%
North Western	4796	5.01%
Eastern	3996	4.18%
Uva	2694	2.82%
North Central	1706	1.78%
Northern	1391	1.45%
