District/ Unit	No of Cases	%
Gampaha	20386	21.30%
Colombo	18953	19.81%
Kandy	7006	7.32%
Matara	6139	6.42%
Kalutara	6164	6.44%
Galle	5219	5.45%
Ratnapura	5076	5.30%
CMC	3845	4.02%
Kegalle	2789	2.91%
Kurunegala	2703	2.82%
Hambantota	2537	2.65%
Puttalam	2093	2.19%
Batticaloa	1529	1.60%
Badulla	1498	1.57%
