District/ Unit	No of Cases	%
NIHS	1259	1.32%
Monaragala	1196	1.25%
Kalmunai	1114	1.16%
Matale	991	1.04%
Jaffna	965	1.01%
Anuradhapura	957	1.00%
Polonnaruwa	749	0.78%
Nuwaraeliya	749	0.78%
Trincomalee	680	0.71%
Ampara	673	0.70%
Vavuniya	165	0.17%
Mannar	95	0.10%
Kilinochchi	91	0.10%
Mullaitivu	75	0.08%
