District/Unit	No of Cases	%
NIHS	1314	1.32%
Monaragala	1236	1.24%
Kalmunai	1219	1.23%
Matale	1052	1.06%
Anuradhapura	1024	1.03%
Jaffna	1032	1.04%
Nuwaraeliya	794	0.80%
Polonnaruwa	782	0.79%
Trincomalee	695	0.70%
Ampara	708	0.71%
Vavuniya	167	0.17%
Mannar	95	0.10%
Kilinochchi	98	0.10%
Mullaitivu	80	0.08%
