District/ Unit	No of Cases	%
Gampaha	21078	21.22%
Colombo	19533	19.66%
Kandy	7500	7.55%
Kalutara	6327	6.37%
Matara	6261	6.30%
Galle	5419	5.45%
Ratnapura	5208	5.24%
CMC	3974	4.00%
Kegalle	3000	3.02%
Kurunegala	2793	2.81%
Hambantota	2623	2.64%
Puttalam	2172	2.19%
Batticaloa	1581	1.59%
Badulla	1578	1.59%
