Province	No of Cases	%		
Western	52226	52.57%		
Southern	14303	14.40%		
Central	9346	9.41%		
Sabaragamuwa	8208	8.26%		
North Western	4965	5.00%		
Eastern	4203	4.23%		
Uva	2814	2.83%		
North Central	1806	1.82%		
Northern	1472	1.48%		
				
High - risk MOH Areas [Week 37, 2026]			34	
